,Left,Right,Center,Main URL
0,"http://www.washingtonpost.com/blogs/the-fix/wp/2012/09/19/8-takeaways-from-the-nbc-wall-street-journal-poll/
http://politicalticker.blogs.cnn.com/2012/09/19/swing-state-poll-romney-favors-the-rich/?hpt=po_c1",http://www.washingtontimes.com/blog/inside-politics/2012/sep/19/poll-romney-losing-his-edge-economy/,https://www.npr.org/sections/coronavirus-live-updates/2021/03/31/982983455/pfizer-says-covid-19-vaccine-shows-100-efficacy-in-adolescents,https://www.allsides.com/story/latest-polls
1,https://www.latimes.com/business/la-fi-nike-betsy-ross-flag-sneakers-kaepernick-20190702-story.html,https://reason.com/2019/07/02/betsy-ross-is-canceled/,https://www.wsj.com/articles/nike-nixes-betsy-ross-flag-sneaker-after-colin-kaepernick-intervenes-11562024126,https://www.allsides.com/story/nike-pulls-betsy-ross-sneakers
2,https://www.cnn.com/2019/07/01/politics/tanks-july-4-washington/index.html,https://www.newsmax.com/politics/fourth-of-july-celebration-tanks-washington/2019/07/02/id/922935/,https://www.reuters.com/article/us-usa-trump-july4/trump-plans-tanks-and-flyovers-at-fourth-of-july-celebration-in-washington-idUSKCN1TW3WN,https://www.allsides.com/story/tanks-and-flyovers-are-planned-july-4th-washington
3,https://www.huffpost.com/entry/eddie-gallagher-navy-seal-verdict_n_5d1bcfd3e4b082e55371833b,https://www.dailymail.co.uk/news/article-7206793/Edward-Gallagher-NOT-GUILTY-murder.html,https://www.apnews.com/e3f009f195944d1f99b5c4ccd6bb31d2,https://www.allsides.com/story/gallagher-found-not-guilty-multiple-counts-except-one
4,"https://www.usatoday.com/story/news/politics/2019/07/04/justin-amash-says-hes-leaving-gop-4th-july-washington-post-oped/1647410001/
https://www.huffpost.com/entry/justin-amash-quits-republican-party-independence_n_5d1d7986e4b0f312567eb639",https://townhall.com/tipsheet/mattvespa/2019/07/04/see-ya-proimpeach-trump-congressman-justin-amash-announces-hes-done-with-the-gop-n2549539,https://thehill.com/policy/national-security/546197-capitol-locked-down-due-to-security-incident,https://www.allsides.com/story/representative-justin-amash-quits-gop-party
5,http://www.cnn.com/2012/09/19/us/us-fast-furious-report/index.html?hpt=hp_t3,http://www.washingtontimes.com/news/2012/sep/19/management-failures-cited-fast-and-furious-report/,http://online.wsj.com/article/SB10000872396390444620104578006290719533504.html?mod=WSJ_WSJ_US_News_5,https://www.allsides.com/story/fallout-fast-and-furious-report
6,https://www.politico.com/story/2019/07/02/trump-july-4-event-tv-1395474,https://www.washingtonexaminer.com/news/msnbc-refuses-to-air-trump-fourth-of-july-event-live,https://thehill.com/homenews/media/451453-msnbc-wont-air-trumps-july-4th-event-live,https://www.allsides.com/story/msnbc-only-shows-clips-salute-america-event-dc
7,"http://www.washingtonpost.com/world/national-security/justice-ig-critical-of-atf-in-gun-operation/2012/09/19/379daf18-0273-11e2-8102-ebee9c66e190_story.html
http://www.cnn.com/2012/09/19/us/us-fast-furious-report/index.html?hpt=po_c2",http://townhall.com/tipsheet/KatiePavlich/2012/09/19/eric_holder_does_a_victory_dance_around_fast_and_furious,https://thehill.com/policy/finance/545932-weekly-jobless-claims-rise-back-above-700k,https://www.allsides.com/story/report-fast-and-furious
8,https://www.huffpost.com/entry/trump-citizenship-question-2020-census_n_5d1bd769e4b082e553718d6b,https://www.washingtontimes.com/news/2019/jul/2/trump-drops-push-citizenship-question-2020-census/,https://www.wsj.com/articles/u-s-to-drop-citizenship-question-from-census-11562101086,https://www.allsides.com/story/trump-administration-drops-citizenship-question-census
9,https://www.bloomberg.com/news/articles/2019-07-02/u-s-wage-and-job-growth-are-slowing-new-report-warns,https://www.washingtonexaminer.com/business/what-job-growth-in-june-can-reveal-about-a-fed-rate-cut-in-july,https://www.cnbc.com/2019/07/03/jobs-data-could-show-slowing-trend-and-prompt-the-fed-to-cut-rates.html,https://www.allsides.com/story/june-jobs-report-and-fed
